#F#,A1,A11,A12
#F#,A2,A21,A22,A23,
#F#,A3,A31,A32,
#F#,A4,A41,A42
#F#,B,B1,B2,B3
#VAL#
0.9,0.1,0.8,0.1,0.1,0.2,0.8,0.4,0.6,0.7,0.1,0.2
0.7,0.3,0.1,0.1,0.8,0.9,0.1,0.2,0.8,0.8,0.2,0
0.9,0.1,0.8,0.2,0,0.3,0.7,0.3,0.7,0.3,0.6,0.1
0.2,0.8,0.1,0.5,0.4,0.9,0.1,0.1,0.9,0.2,0.2,0.6
0,1,0.1,0.3,0.6,0.2,0.8,0.5,0.5,0.1,0.8,0.1
0.7,0.3,0.1,0.3,0.6,0.7,0.3,0.6,0.4,0.2,0,0.8
0,1,0.2,0.2,0.6,0.6,0.4,0.9,0.1,0.4,0.5,0.1
0.2,0.8,0.2,0.3,0.5,0.8,0.2,0.1,0.9,0.1,0.1,0.8
0.1,0.9,0.3,0.4,0.3,0.3,0.7,0.7,0.3,0.2,0.7,0.1
0.9,0.1,0.2,0.3,0.5,0.7,0.3,0.3,0.7,0.8,0.1,0.1
0.7,0.3,0.2,0.3,0.5,0.4,0.6,0.2,0.8,0.3,0.7,0
0.2,0.8,0.1,0.8,0.1,0.3,0.7,0.7,0.3,0.1,0.2,0.7
0.1,0.9,0.2,0.8,0,0.1,0.9,0.9,0.1,0.1,0.3,0.6
0,1,0.7,0.2,0.1,0.9,0.1,0.7,0.3,0.8,0.1,0.1
0.4,0.6,0.7,0.1,0.2,0.8,0.2,0.8,0.2,0.1,0.1,0.8
